              Procedure           Image            Address        Calls Instructions
                   @plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee2b0           65           65
                   @plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee270            1            1
                   @plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee230           31           31
                   @plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee210           31           31
                   @plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee200           65           65
_dl_find_dso_for_object@plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee1a0            1            3
                   @plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee160           39           39
                   @plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee110            2            2
                   @plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee100          207          207
  __tunable_get_val@plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee0f0           11           13
                   @plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee0c0           24           24
                   @plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee050           24           24
                   @plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee040           51           51
                   @plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6ee000           15           15
                   .plt /lib/x86_64-linux-gnu/libc.so.6       7f2aee6edfd0            2            4
                  .fini /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeae3900            1            3
      omp_get_num_procs /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeead6c80            1            1
     omp_get_thread_num /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeacbff0         1795         5385
    omp_get_max_threads /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac80d0            4           32
    omp_set_num_threads /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac7ef0            2           26
               .plt.got /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac53c0            1            1
 pthread_key_delete@plt /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac52e0            1            3
            sysconf@plt /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac5290            1            3
       pthread_self@plt /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac5240            2            4
 pthread_key_create@plt /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac5210            2            4
             malloc@plt /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac5140            2            4
pthread_getaffinity_np@plt /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac5120            2            4
pthread_attr_setdetachstate@plt /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac5100            1            3
  pthread_attr_init@plt /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac5070            1            3
pthread_setspecific@plt /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac4ff0            1            3
   __sched_cpucount@plt /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac4f60            2            4
      secure_getenv@plt /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac4ee0            1            3
             getenv@plt /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac4e60           19           21
                   .plt /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac4e50           12           24
                  _init /usr/lib/x86_64-linux-gnu/libgomp.so.1       7f2aeeac4e30            1            6
                  _fini /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeed01174            1            3
       __errno_location /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeed010e0           13           39
           elision_init /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeed00dd0            1           36
 pthread_getaffinity_np /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecffb20            2           40
            __sigaction /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecffa80           10           40
       __libc_sigaction /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecff8a0           12          842
_pthread_cleanup_pop_restore /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecfdce0           16          144
_pthread_cleanup_push_defer /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecfdc80           16          192
  __pthread_setspecific /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecfc0c0            2           67
    pthread_getspecific /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecfc030            1           11
     pthread_key_delete /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecfbff0            2           30
     pthread_key_create /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecfbf90            3           75
__pthread_rwlock_unlock /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecfa180            2           84
__pthread_rwlock_wrlock /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf97f0            2           97
pthread_mutexattr_destroy /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf91d0           35           70
 pthread_mutexattr_init /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf91c0           35          105
 __pthread_mutex_unlock /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf87a0         1077        18331
     pthread_mutex_lock /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf6fa0         1077        31245
  pthread_mutex_destroy /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf6940           35          350
     pthread_mutex_init /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf6780           35         1505
pthread_attr_setdetachstate /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf61c0            1            5
      pthread_attr_init /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf6160            1           13
           pthread_self /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf5d90            2            4
__pthread_initialize_minimal /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf2e80            1          156
            frame_dummy /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf2c80            1            4
  __do_global_dtors_aux /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf2c40            1           12
     register_tm_clones /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf2bf0            1           13
   deregister_tm_clones /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf2bb0            1            8
               .plt.got /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf2ba0            1            1
_dl_get_tls_static_info@plt /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf2b00            1            3
  __tunable_get_val@plt /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf2ae0            5            7
__libc_pthread_init@plt /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf2a00            1            3
      __getpagesize@plt /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf29d0            1            3
             memset@plt /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf2850            2            4
        __getrlimit@plt /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf26d0            1            3
                   .plt /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf2690            6           12
                  _init /lib/x86_64-linux-gnu/libpthread.so.0       7f2aeecf2678            1            4
                  .fini /lib/x86_64-linux-gnu/libm.so.6       7f2aeefd62f8            1            3
               .plt.got /lib/x86_64-linux-gnu/libm.so.6       7f2aeef17a70            1            1
                  _init /lib/x86_64-linux-gnu/libm.so.6       7f2aeef177f0            1            6
                  .fini /lib/x86_64-linux-gnu/libz.so.1       7f2aef2bf640            1            3
            zlibVersion /lib/x86_64-linux-gnu/libz.so.1       7f2aef2bb0c0            2            4
